Rating,URL,Review Count,Price,Description
Women's Plus Size French Terry Fleece Pullover Hoodie,$13.10,4.1 out of 5 stars,"(1,934)",https://www.amazon.com//Amazon-Essentials-Womens-French-Pullover/dp/B07QZHVTH4/ref=sr_1_50?crid=1HT27OCBDLP2O&keywords=hoodie&qid=1673311108&sprefix=hoodie%2Caps%2C87&sr=8-50
Women's Sherpa Pullover Fuzzy Fleece Sweatshirt Oversized Hoodies,$29.89,4.3 out of 5 stars,"(5,448)",https://www.amazon.com//COCOLEGGINGS-Oversized-Hoodies-Pullover-Sweatshirts/dp/B0BFDVHNNW/ref=sr_1_51?crid=1HT27OCBDLP2O&keywords=hoodie&qid=1673311108&sprefix=hoodie%2Caps%2C87&sr=8-51
Men's Novelty Color Block Pullover Fleece Hoodie Long Sleeve Casual Sweatshirt with Pocket,$29.99,4.5 out of 5 stars,"(8,684)",https://www.amazon.com//Gesean-Colorful-Pullover-Sweatshirt-Clothes/dp/B08LPJ28R5/ref=sr_1_52?crid=1HT27OCBDLP2O&keywords=hoodie&qid=1673311108&sprefix=hoodie%2Caps%2C87&sr=8-52
Women's French Terry Fleece Full-Zip Hoodie (Available in Plus Size),$21.70,4.4 out of 5 stars,"(5,728)",https://www.amazon.com//Amazon-Essentials-Full-Zip-X-Large-Regular/dp/B07BJ8GVFJ/ref=sr_1_53?crid=1HT27OCBDLP2O&keywords=hoodie&qid=1673311108&sprefix=hoodie%2Caps%2C87&sr=8-53
Men's Full-Zip Hooded Fleece Sweatshirt (Available in Big & Tall),$20.20,4.6 out of 5 stars,"(40,830)",https://www.amazon.com//Amazon-Essentials-Full-Zip-Hooded-Sweatshirt/dp/B075JV7RWV/ref=sr_1_54?crid=1HT27OCBDLP2O&keywords=hoodie&qid=1673311108&sprefix=hoodie%2Caps%2C87&sr=8-54
Men's Loose Fit Midweight Logo Sleeve Graphic Sweatshirt,$54.99,4.8 out of 5 stars,"(46,495)",https://www.amazon.com//Carhartt-Midweight-Sleeve-Sweatshirt-Regular/dp/B002G9UD82/ref=sr_1_55?crid=1HT27OCBDLP2O&keywords=hoodie&qid=1673311108&sprefix=hoodie%2Caps%2C87&sr=8-55
Womens Oversized Sherpa Pullover Hoodie with Pockets Fuzzy Fleece Sweatshirt Tie Dye Fluffy Coat,$32.99,4.3 out of 5 stars,"(14,618)",https://www.amazon.com//ReachMe-Oversized-Pullover-Pockets-Sweatshirt/dp/B09BYVFP57/ref=sr_1_56?crid=1HT27OCBDLP2O&keywords=hoodie&qid=1673311108&sprefix=hoodie%2Caps%2C87&sr=8-56
Men's Essentials Fleece Hoodie,$48.71,4.7 out of 5 stars,"(1,388)",https://www.amazon.com//adidas-Standard-Essentials-Fleece-Heather/dp/B08MJ9JK5P/ref=sr_1_57?crid=1HT27OCBDLP2O&keywords=hoodie&qid=1673311108&sprefix=hoodie%2Caps%2C87&sr=8-57
Men's Tech Stretch Sleeveless Hoodie,$18.90,4.6 out of 5 stars,(971),https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A09434541UES2N69UBPZN&qualifier=1673311108&id=7159014307471089&widgetName=sp_btf&url=%2FAmazon-Essentials-Stretch-Sleeveless-X-Large%2Fdp%2FB07FKRDSSN%2Fref%3Dsr_1_58_sspa%3Fcrid%3D1HT27OCBDLP2O%26keywords%3Dhoodie%26qid%3D1673311108%26sprefix%3Dhoodie%252Caps%252C87%26sr%3D8-58-spons%26psc%3D1
Men's Casual Basic Thermal Pullover Hoodie Hooded Sweatshirt with Pocket,$36.99,3.4 out of 5 stars,(8),https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A00820578QF60EKSFZR5&qualifier=1673311108&id=7159014307471089&widgetName=sp_btf&url=%2FMAKEMECHIC-Thermal-Pullover-Sweatshirt-Chocolate%2Fdp%2FB0B4JRY1C2%2Fref%3Dsr_1_59_sspa%3Fcrid%3D1HT27OCBDLP2O%26keywords%3Dhoodie%26qid%3D1673311108%26sprefix%3Dhoodie%252Caps%252C87%26sr%3D8-59-spons%26psc%3D1%26smid%3DA2U6S5K6X6XQ55
"Men's The Postgame Hoodie, Cozy Fleece",$62.97, , ,https://www.amazon.com//gp/slredirect/picassoRedirect.html/ref=pa_sp_btf_aps_sr_pg1_1?ie=UTF8&adId=A0156124125OAZJ23ZG4C&qualifier=1673311108&id=7159014307471089&widgetName=sp_btf&url=%2FFabletics-Postgame-Hoodie-Fleece-Merlot%2Fdp%2FB0BL5PSTR6%2Fref%3Dsr_1_60_sspa%3Fcrid%3D1HT27OCBDLP2O%26keywords%3Dhoodie%26qid%3D1673311108%26sprefix%3Dhoodie%252Caps%252C87%26sr%3D8-60-spons%26psc%3D1
